Date,PetrolPrice,Price Date,Sl no.,District Name_x,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,District Name_y
01-01-2018,69.38,01-01-2018,35074,Banaskanth,Deesa,Wheat,Other,FAQ,1650,1700,1675,30,18,0,10.8,7,94,5:31 PM,6:10 AM,7:21 AM,6:05 PM,5,23,23,23,13,0,32,0,1012,30,10,109,9,Ahmedabad
02-01-2018,69.38,02-01-2018,44979,Panchmahals,Derol(Adadara),Wheat,Lokwan,FAQ,1690,1710,1700,29,17,0,10.9,6,100,6:34 PM,7:16 AM,7:21 AM,6:06 PM,3,22,22,22,22,0,28,0,1013,29,10,59,14,Ahmedabad
03-01-2018,69.38,03-01-2018,4069,Amreli,Amreli,Wheat,Rajasthan Tukdi,FAQ,1565,1905,1800,30,16,0,10.9,6,92,7:41 PM,8:17 AM,7:21 AM,6:07 PM,2,22,22,22,21,0,27,0,1013,30,10,95,12,Ahmedabad
04-01-2018,69.38,04-01-2018,60910,Panchmahals,Gogamba,Wheat,Other,FAQ,1550,1600,1570,31,18,0,10.9,7,85,8:46 PM,9:14 AM,7:22 AM,6:07 PM,2,23,23,23,13,0,25,0,1014,31,10,193,9,Ahmedabad
05-01-2018,69.38,05-01-2018,24595,Surendranagar,Chotila,Wheat,Hybrid,FAQ,1400,2000,1700,30,18,0,10.9,7,78,9:49 PM,10:05 AM,7:22 AM,6:08 PM,4,23,23,23,11,0,30,0,1013,30,10,186,8,Ahmedabad
06-01-2018,69.38,06-01-2018,28357,Dahod,Dahod,Wheat,Lokwan,FAQ,1825,1900,1850,29,19,0,10.9,7,72,10:49 PM,10:50 AM,7:22 AM,6:09 PM,6,23,23,23,10,0,35,0,1013,29,10,186,8,Ahmedabad
07-01-2018,69.38,07-01-2018,60311,Panchmahals,Godhra(Timbaroad),Wheat,MP Lokwan,FAQ,1770,1785,1775,29,17,0,10.9,6,65,11:46 PM,11:33 AM,7:22 AM,6:09 PM,3,22,22,22,14,0,30,0,1015,29,10,107,10,Ahmedabad
08-01-2018,69.38,08-01-2018,28257,Dahod,Dahod,Wheat,Lokwan,FAQ,2100,2200,2150,28,16,0,10.9,6,58,No moonrise,12:12 PM,7:22 AM,6:10 PM,4,21,21,22,18,2,32,0,1015,28,10,57,12,Ahmedabad
09-01-2018,69.38,09-01-2018,61226,Panchmahals,Gogamba(Similiya),Wheat,147 Average,FAQ,1830,1860,1860,30,17,0,10.9,7,51,12:40 AM,12:50 PM,7:23 AM,6:11 PM,5,23,23,23,24,4,31,0,1016,30,10,76,14,Ahmedabad
10-01-2018,69.38,10-01-2018,62433,Rajkot,Gondal,Wheat,Lokwan,FAQ,1935,2270,1960,30,18,0,10.9,7,45,1:33 AM,1:27 PM,7:23 AM,6:11 PM,4,23,23,23,23,3,29,0,1017,30,10,73,14,Ahmedabad
11-01-2018,69.38,11-01-2018,44755,Panchmahals,Derol(Adadara),Wheat,Lokwan,FAQ,1640,1660,1650,30,19,0,10.9,7,38,2:25 AM,2:05 PM,7:23 AM,6:12 PM,5,23,23,24,20,6,30,0,1016,30,10,58,12,Ahmedabad
12-01-2018,69.38,12-01-2018,43730,Panchmahals,Derol,Wheat,Other,FAQ,1640,1660,1650,30,20,0,10.9,7,31,3:16 AM,2:45 PM,7:23 AM,6:13 PM,4,24,24,25,17,18,26,0,1015,30,10,55,10,Ahmedabad
13-01-2018,69.38,13-01-2018,12204,Mehsana,Becharaji,Wheat,Other,FAQ,1650,1705,1677,27,23,0,10.9,7,24,4:07 AM,3:27 PM,7:23 AM,6:14 PM,4,24,24,25,20,30,25,0,1014,27,10,70,11,Ahmedabad
14-01-2018,69.38,14-01-2018,,,,,,,,,,33,22,0,10.9,7,18,4:58 AM,4:10 PM,7:23 AM,6:14 PM,9,27,27,27,16,14,35,0,1014,33,10,123,9,Ahmedabad
